,USPS,ST,NAME,ZCTA5,LAT,LON
0,Hlavní město Praha,52,StrašNice,100 00,50.0036,14.4619
1,Hlavní město Praha,52,Praha 10-MalešIce,100 00,50.0036,14.4619
2,Hlavní město Praha,52,VršOvice,100 00,50.0036,14.4619
3,Hlavní město Praha,52,Praha 10-VršOvice,100 00,50.0036,14.4619
4,Hlavní město Praha,52,Vinohrady,100 00,50.0036,14.4619
5,Hlavní město Praha,52,MalešIce,100 00,50.0036,14.4619
6,Hlavní město Praha,52,Praha 10-StrašNice,100 00,50.0036,14.4619
7,Hlavní město Praha,52,Praha 10-Vinohrady,100 00,50.0036,14.4619
8,Hlavní město Praha,52,ŽIžKov,100 00,50.0036,14.4619
9,Hlavní město Praha,52,Praha 10-ŽIžKov,100 00,50.0036,14.4619
10,Hlavní město Praha,52,Vinohrady,101 00,50.0036,14.4619
11,Hlavní město Praha,52,Praha 10-Vinohrady,101 00,50.0036,14.4619
12,Hlavní město Praha,52,Praha 10-VršOvice,101 00,50.0036,14.4619
13,Hlavní město Praha,52,Michle,101 00,50.0036,14.4619
14,Hlavní město Praha,52,Praha 10-Michle,101 00,50.0036,14.4619
15,Hlavní město Praha,52,Praha 10-ZáBěHlice,101 00,50.0036,14.4619
16,Hlavní město Praha,52,VršOvice,101 00,50.0036,14.4619
17,Hlavní město Praha,52,ZáBěHlice,101 00,50.0036,14.4619
18,Hlavní město Praha,52,ŠTěRboholy,102 00,50.0667,14.55
19,Hlavní město Praha,52,Hostivař,102 00,50.0667,14.55
20,Hlavní město Praha,52,Praha 10-ŠTěRboholy,102 00,50.0667,14.55
21,Hlavní město Praha,52,Praha 10-Hostivař,102 00,50.0667,14.55
22,Hlavní město Praha,52,Benice,103 00,50.0167,14.6
23,Hlavní město Praha,52,Praha 10-Lipany,103 00,50.0125,14.625
24,Hlavní město Praha,52,Kolovraty,103 00,50.0167,14.6333
25,Hlavní město Praha,52,NedvěZí,103 00,50.0167,14.65
26,Hlavní město Praha,52,Praha 10-Kolovraty,103 00,50.0125,14.625
27,Hlavní město Praha,52,Lipany,103 00,50,14.6167
28,Hlavní město Praha,52,Praha 10-NedvěZí,103 00,50.0125,14.625
29,Hlavní město Praha,52,Praha 10-Benice,103 00,50.0125,14.625
30,Hlavní město Praha,52,Pitkovice,104 00,50.0167,14.5833
